step,total_transactions,fraud_transactions,fraud_rate_percent
75,8,8,100.0
76,4,4,100.0
77,10,10,100.0
78,10,10,100.0
79,10,10,100.0
80,10,10,100.0
81,10,10,100.0
82,10,10,100.0
83,12,12,100.0
84,16,16,100.0
85,14,14,100.0
86,18,18,100.0
87,6,6,100.0
88,8,8,100.0
89,6,6,100.0
90,16,16,100.0
91,8,8,100.0
92,10,10,100.0
93,4444,16,0.36003600360036003
94,10372,12,0.11569610489780179
95,6858,14,0.2041411490230388
96,6350,4,0.06299212598425197
97,685,10,1.4598540145985401
98,14,14,100.0
99,8,8,100.0
100,6,6,100.0
101,12,12,100.0
102,12,12,100.0
103,8,8,100.0
104,14,14,100.0
105,18,18,100.0
106,18,18,100.0
107,10,10,100.0
108,8,8,100.0
109,12,12,100.0
110,10,10,100.0
111,10,10,100.0
112,2,2,100.0
113,6,6,100.0
114,4,4,100.0
115,10,10,100.0
116,14,14,100.0
117,12,12,100.0
118,12,12,100.0
119,5740,10,0.17421602787456447
120,3144,12,0.38167938931297707
121,1074,14,1.303538175046555
122,414,14,3.3816425120772946
123,52,6,11.538461538461538
124,4,4,100.0
125,10,10,100.0
126,6,6,100.0
127,14,14,100.0
128,8,8,100.0
129,21986,6,0.027290093695988355
130,32890,6,0.018242626938279112
131,36375,16,0.04398625429553264
132,35936,10,0.027827248441674085
133,35147,10,0.028451930463481948
134,32391,10,0.030872773301225648
135,27556,8,0.029031789809841776
136,30340,10,0.03295978905735003
137,32559,12,0.036856168801253114
138,31422,4,0.012729934440837629
139,46054,4,0.008685456203587093
140,37012,14,0.037825570085377715
141,16434,8,0.04867956675185591
142,12189,8,0.06563294773976536
143,7609,16,0.21027730319358653
144,3523,10,0.2838489923360772
145,1117,14,1.2533572068039391
146,522,10,1.9157088122605364
147,84,6,7.142857142857142
148,12,12,100.0
149,22,22,100.0
150,14,14,100.0
151,18,18,100.0
152,6,6,100.0
153,19475,10,0.051347881899871634
154,29241,10,0.03419855682090216
155,29927,8,0.026731713837003374
156,27603,18,0.06521030322791001
157,29764,16,0.05375621556242441
158,27839,8,0.028736664391680735
159,27561,10,0.03628315373172236
160,27765,26,0.09364307581487484
161,33049,14,0.04236134224938727
162,40622,10,0.024617202501107775
163,46352,8,0.01725923369002416
164,39102,14,0.03580379520229145
165,16542,4,0.024180872929512754
166,12176,6,0.049277266754270695
167,7946,6,0.07550969041026932
168,3824,2,0.05230125523012552
169,1464,10,0.6830601092896175
170,529,16,3.0245746691871456
171,14,14,100.0
172,10,10,100.0
173,14,14,100.0
174,10,10,100.0
175,8,8,100.0
176,10,10,100.0
177,17336,18,0.10383017997231195
178,28204,14,0.04963834917033045
179,30534,8,0.026200301303464988
180,31481,10,0.031765191702931926
181,31749,11,0.03464676052789064
182,31900,8,0.025078369905956112
183,31199,16,0.051283694990224046
184,32175,8,0.024864024864024864
185,37323,16,0.04286900838624976
186,43747,17,0.038859807529659174
187,49083,10,0.020373652792209113
188,39079,10,0.025589191125668518
189,17674,10,0.056580287427860136
190,12669,8,0.06314626253058647
191,9111,12,0.1317089232795522
192,4314,10,0.23180343069077425
193,1511,8,0.5294506949040371
194,671,12,1.7883755588673622
195,141,10,7.092198581560284
196,8,8,100.0
197,4,4,100.0
198,12,12,100.0
199,10,10,100.0
200,8,8,100.0
201,17963,8,0.044535990647441966
202,31949,2,0.006259976838085699
203,36176,8,0.022114108801415303
204,36856,6,0.01627957456045149
205,33549,16,0.047691436406450266
206,29777,12,0.040299560063135974
207,28288,6,0.021210407239819005
208,29058,21,0.07226925459425976
209,30372,6,0.019755037534571314
210,33004,8,0.024239486122894196
211,36889,14,0.0379516929165876
212,34047,40,0.1174846535671278
213,14775,8,0.05414551607445009
214,10746,12,0.11166945840312675
215,7975,10,0.12539184952978058
216,4130,6,0.14527845036319612
217,3347,16,0.47804003585300264
218,12,12,100.0
219,10,10,100.0
220,6,6,100.0
221,10,10,100.0
222,8,8,100.0
223,8,8,100.0
224,10,10,100.0
225,18366,12,0.06533812479581835
226,27522,12,0.04360148245040331
227,30871,14,0.045350004858929094
228,30965,16,0.051671241724527694
229,28304,8,0.02826455624646693
230,26034,17,0.06529922409157256
231,26968,17,0.0630376742806289
232,27482,10,0.036387453605996656
233,14703,12,0.08161599673536013
234,34053,14,0.041112383637271314
235,47491,10,0.021056621254553494
236,37109,10,0.026947640734053733
237,16003,12,0.07498594013622446
238,10920,14,0.1282051282051282
239,8554,10,0.11690437222352115
240,4189,14,0.334208641680592
241,1865,18,0.96514745308311
242,637,8,1.2558869701726845
243,8,8,100.0
244,12,12,100.0
245,4,4,100.0
246,4,4,100.0
247,8,8,100.0
248,10,10,100.0
249,23209,28,0.12064285406523331
250,31854,22,0.06906510956237835
251,35269,10,0.02835351158240948
252,35590,2,0.005619556055071649
253,33311,10,0.03002011347602894
254,29553,10,0.0338375122660982
255,28840,8,0.027739251040221912
256,28570,8,0.028001400070003502
257,26843,6,0.022352196103267146
258,27662,8,0.028920540814113223
259,43328,10,0.023079763663220086
260,33674,12,0.035635802102512326
261,14420,20,0.13869625520110956
262,11125,22,0.19775280898876405
263,8021,6,0.07480364044383493
264,4042,8,0.1979218208807521
265,1581,12,0.7590132827324478
266,767,10,1.303780964797914
267,77,8,10.38961038961039
268,6,6,100.0
269,14,14,100.0
270,16,16,100.0
271,12,12,100.0
272,12,12,100.0
273,7871,20,0.25409731927328166
274,19202,20,0.10415581710238517
275,24797,10,0.040327458966810496
276,26383,10,0.03790319523935868
277,25925,14,0.05400192864030858
278,25737,4,0.015541826941757004
279,25925,22,0.08486017357762778
280,25956,4,0.01541069502234551
281,27778,18,0.06479948160414717
282,31118,18,0.0578443344687962
283,36644,8,0.021831677764436196
284,33449,16,0.04783401596460283
285,14266,16,0.11215477358755081
286,11333,8,0.0705903114797494
287,6889,10,0.1451589490492089
288,4018,10,0.24888003982080636
289,1437,12,0.8350730688935281
290,487,8,1.642710472279261
291,44,10,22.727272727272727
292,8,8,100.0
293,4,4,100.0
294,18,18,100.0
295,10,10,100.0
296,22,22,100.0
297,20609,8,0.03881799213935659
298,29579,4,0.013523107610128806
299,31940,10,0.031308703819661866
300,31176,8,0.025660764690787787
301,30881,4,0.012952948414882938
302,29127,8,0.027465925086689325
303,24714,14,0.05664805373472526
304,26697,2,0.007491478443270779
305,34595,14,0.04046827576239341
306,43615,12,0.027513470136420956
307,46968,16,0.034065746891500596
308,36983,6,0.016223670335018793
309,15147,8,0.05281573909024889
310,11393,10,0.08777319406653208
311,9863,16,0.16222244753117712
312,3266,10,0.3061849357011635
313,1305,10,0.7662835249042145
314,512,6,1.171875
315,12,12,100.0
316,12,12,100.0
317,20,20,100.0
318,6,6,100.0
319,8,8,100.0
320,14,14,100.0
321,17768,8,0.04502476361999099
322,27147,16,0.058938372564187574
323,29884,10,0.033462722527104805
324,29430,10,0.03397893306150187
325,27901,10,0.035841009282821405
326,26655,14,0.052522978803226414
327,25183,10,0.03970932772108168
328,26877,18,0.06697176024109834
329,32161,6,0.018656136314169337
330,36682,10,0.027261327081402324
331,40186,6,0.014930572836311155
332,36156,6,0.016594756057085963
333,14553,8,0.05497148354291211
334,12016,4,0.033288948069241014
335,10456,4,0.03825554705432287
336,2932,18,0.6139154160982265
337,320,10,3.125
338,529,4,0.7561436672967864
339,10,10,100.0
340,10,10,100.0
341,10,10,100.0
342,14,14,100.0
343,12,12,100.0
344,6,6,100.0
345,14670,12,0.081799591002045
346,26073,6,0.023012311586698884
347,30222,0,0.0
348,29467,8,0.027149014151423626
349,29552,18,0.060909583107742284
350,28245,14,0.04956629491945477
351,26927,18,0.06684740223567423
352,27139,16,0.058955746342901356
353,30420,8,0.026298487836949373
354,40696,12,0.029486927462158443
355,44787,8,0.01786232612141916
356,33528,6,0.017895490336435216
357,15096,18,0.11923688394276628
358,12050,10,0.08298755186721991
359,7991,12,0.15016894005756476
360,3508,8,0.22805017103762829
361,1441,14,0.9715475364330326
362,504,20,3.968253968253968
363,14,14,100.0
364,6,6,100.0
365,14,14,100.0
366,10,10,100.0
367,14,14,100.0
368,6,6,100.0
369,14490,6,0.041407867494824016
370,25429,18,0.07078532384285657
371,28388,6,0.021135691137100183
372,29515,8,0.027104861934609523
373,28853,12,0.04159012927598517
374,27727,14,0.050492299924261554
375,26103,10,0.03830977282304716
376,20122,4,0.01987873968790379
377,18183,10,0.0549964252323599
378,37127,4,0.010773830366040887
379,41759,16,0.038315093752245025
380,37693,14,0.03714217493964396
381,14961,4,0.02673618073658178
382,11829,8,0.0676303998647392
383,7818,14,0.17907393195190585
384,3588,6,0.16722408026755853
385,1419,8,0.5637773079633545
386,633,16,2.527646129541864
387,28,28,100.0
388,18,18,100.0
389,10,10,100.0
390,12,12,100.0
391,12,12,100.0
392,10,10,100.0
393,19269,4,0.020758731641496705
394,28959,10,0.034531579129113574
395,22797,8,0.03509233671097074
396,34075,8,0.023477622890682316
397,30348,10,0.03295110056675893
398,26656,26,0.0975390156062425
399,30223,12,0.039704860536677364
400,30910,16,0.051763183435781304
401,33468,16,0.047806860284450824
402,40218,12,0.02983738624496494
403,45155,16,0.03543350680987709
404,36726,18,0.049011599411860805
405,16604,10,0.060226451457480124
406,12023,24,0.1996173999833652
407,7937,6,0.07559531309058838
408,8256,10,0.12112403100775193
409,483,20,4.140786749482402
410,20,20,100.0
411,16,16,100.0
412,8,8,100.0
413,289,14,4.844290657439446
414,16,16,100.0
415,16,16,100.0
416,2182,8,0.36663611365719523
417,6,6,100.0
418,6,6,100.0
419,1257,10,0.7955449482895784
420,2620,12,0.45801526717557256
421,14,14,100.0
422,1259,10,0.7942811755361397
423,766,6,0.7832898172323759
424,14,14,100.0
425,28,28,100.0
426,5139,2,0.03891807744697412
427,14,14,100.0
428,2792,6,0.21489971346704873
429,2357,4,0.1697072549851506
430,8,8,100.0
431,1685,6,0.35608308605341243
432,4,4,100.0
433,6,6,100.0
434,8,8,100.0
435,4,4,100.0
436,248,16,6.451612903225806
437,16,16,100.0
438,12,12,100.0
439,883,12,1.3590033975084939
440,18,18,100.0
441,10,10,100.0
442,1222,12,0.9819967266775778
443,10,10,100.0
444,20,20,100.0
445,64,6,9.375
446,12,12,100.0
447,10,10,100.0
448,2548,6,0.23547880690737832
449,1194,6,0.5025125628140703
450,16,16,100.0
451,3751,4,0.10663822980538523
452,308,10,3.2467532467532463
453,59,8,13.559322033898304
454,39,6,15.384615384615385
455,824,10,1.2135922330097086
456,18,18,100.0
457,10,10,100.0
458,438,6,1.36986301369863
459,8,8,100.0
460,59,16,27.11864406779661
461,83,16,19.27710843373494
462,16,16,100.0
463,10,10,100.0
464,16,16,100.0
465,12,12,100.0
466,984,6,0.6097560975609756
467,12,12,100.0
468,12,12,100.0
469,6016,8,0.13297872340425532
470,12,12,100.0
471,2620,2,0.07633587786259542
472,84,8,9.523809523809524
473,10,10,100.0
474,2728,8,0.2932551319648094
475,14,14,100.0
476,3755,8,0.21304926764314247
477,10,10,100.0
478,1908,6,0.3144654088050315
479,904,4,0.4424778761061947
480,6,6,100.0
481,14,14,100.0
482,16,16,100.0
483,317,8,2.5236593059936907
484,6,6,100.0
485,12,12,100.0
486,8,8,100.0
487,912,14,1.5350877192982455
488,8,8,100.0
489,14,14,100.0
490,3820,10,0.2617801047120419
491,12,12,100.0
492,5119,6,0.1172103926548154
493,1819,8,0.4398020890599231
494,8,8,100.0
495,3256,16,0.4914004914004914
496,873,6,0.6872852233676976
497,20,20,100.0
498,12,12,100.0
499,10,10,100.0
500,6108,4,0.06548788474132286
501,28,28,100.0
502,313,12,3.8338658146964857
503,1878,10,0.5324813631522897
504,10,10,100.0
505,936,8,0.8547008547008548
506,8,8,100.0
507,14,14,100.0
508,6,6,100.0
509,288,14,4.861111111111112
510,10,10,100.0
511,6,6,100.0
512,12,12,100.0
513,10,10,100.0
514,8733,14,0.16031146226955226
515,6,6,100.0
516,14,14,100.0
517,1391,6,0.4313443565780014
518,3488,8,0.22935779816513763
519,12,12,100.0
520,3037,12,0.39512676983865663
521,14,14,100.0
522,18631,14,0.0751435779077881
523,30,30,100.0
524,2664,4,0.15015015015015015
525,8023,2,0.024928331048236323
526,2470,12,0.4858299595141701
527,2697,6,0.22246941045606228
528,937,14,1.4941302027748131
529,33,6,18.181818181818183
530,409,8,1.9559902200488997
531,250,14,5.6000000000000005
532,95,6,6.315789473684211
533,12,12,100.0
534,531,12,2.2598870056497176
535,6,6,100.0
536,12,12,100.0
537,18,18,100.0
538,3120,10,0.3205128205128205
539,4,4,100.0
540,5476,6,0.1095690284879474
541,12,12,100.0
542,4475,10,0.22346368715083798
543,6,6,100.0
544,9358,6,0.06411626415900834
545,3562,0,0.0
546,7771,10,0.12868356710848022
547,2261,8,0.35382574082264484
548,5689,2,0.035155563367902966
549,642,12,1.8691588785046727
550,4804,8,0.16652789342214822
551,949,18,1.8967334035827188
552,1517,10,0.6591957811470006
553,8,8,100.0
554,18,18,100.0
555,144,6,4.166666666666666
556,6,6,100.0
557,20,20,100.0
558,14,14,100.0
559,10,10,100.0
560,10,10,100.0
561,16,16,100.0
562,10,10,100.0
563,3284,18,0.5481120584652862
564,3546,16,0.4512126339537508
565,5425,12,0.22119815668202764
566,1421,6,0.422237860661506
567,4356,10,0.2295684113865932
568,14,14,100.0
569,1182,14,1.1844331641285957
570,1965,10,0.5089058524173028
571,4256,10,0.2349624060150376
572,18,18,100.0
573,3487,8,0.2294235732721537
574,2614,4,0.1530221882172915
575,8,8,100.0
576,877,14,1.596351197263398
577,364,12,3.296703296703297
578,269,20,7.434944237918216
579,12,12,100.0
580,58,10,17.24137931034483
581,10,10,100.0
582,775,16,2.064516129032258
583,16,16,100.0
584,281,8,2.8469750889679712
585,2047,6,0.29311187103077674
586,1581,12,0.7590132827324478
587,2740,6,0.21897810218978103
588,4894,12,0.2451982018798529
589,6245,2,0.032025620496397116
590,6584,8,0.12150668286755771
591,57,12,21.052631578947366
592,5373,10,0.18611576400521124
593,4,4,100.0
594,6536,10,0.15299877600979192
595,5434,12,0.22083179977916823
596,9319,8,0.08584612082841507
597,2486,6,0.2413515687851971
598,934,4,0.4282655246252677
599,1816,6,0.3303964757709251
600,18,18,100.0
601,865,10,1.1560693641618496
602,8,8,100.0
603,12,12,100.0
604,8,8,100.0
605,16,16,100.0
606,14,14,100.0
607,8,8,100.0
608,1082,16,1.478743068391867
609,8,8,100.0
610,1199,12,1.0008340283569641
611,14,14,100.0
612,2677,12,0.44826298094882333
613,45,20,44.44444444444444
614,1278,16,1.2519561815336464
615,8,8,100.0
616,6,6,100.0
617,2680,16,0.5970149253731344
618,8,8,100.0
619,2800,14,0.5
620,8,8,100.0
621,1121,18,1.6057091882247994
622,4,4,100.0
623,6,6,100.0
624,10,10,100.0
625,24,24,100.0
626,6,6,100.0
627,4,4,100.0
628,6,6,100.0
629,20,20,100.0
630,150,4,2.666666666666667
631,12,12,100.0
632,8,8,100.0
633,8,8,100.0
634,10,10,100.0
635,16,16,100.0
636,12,12,100.0
637,3390,12,0.35398230088495575
638,14,14,100.0
639,14,14,100.0
640,1398,14,1.0014306151645207
641,10,10,100.0
642,1141,8,0.7011393514461
643,14,14,100.0
644,2267,10,0.4411116012351125
645,10,10,100.0
646,20,20,100.0
647,10,10,100.0
648,14,14,100.0
649,263,10,3.802281368821293
650,16,16,100.0
651,10,10,100.0
652,14,14,100.0
653,8,8,100.0
654,8,8,100.0
655,4,4,100.0
656,1965,16,0.8142493638676844
657,10,10,100.0
658,14,14,100.0
659,2500,10,0.4
660,12,12,100.0
661,4877,8,0.16403526758253026
662,2,2,100.0
663,10,10,100.0
664,1125,20,1.7777777777777777
665,10,10,100.0
666,6,6,100.0
667,1400,6,0.4285714285714286
668,8,8,100.0
669,322,8,2.484472049689441
670,1906,12,0.6295907660020986
671,18,18,100.0
672,153,8,5.228758169934641
673,445,12,2.696629213483146
674,14,14,100.0
675,30,10,33.33333333333333
676,8,8,100.0
677,8,8,100.0
678,6,6,100.0
679,72,6,8.333333333333332
680,22,22,100.0
681,4703,4,0.08505209440782478
682,6,6,100.0
683,2192,8,0.36496350364963503
684,4562,8,0.17536168347216133
685,14,14,100.0
686,4689,16,0.3412241416080187
687,8040,8,0.09950248756218905
688,7885,8,0.10145846544071022
689,14,14,100.0
690,4972,12,0.2413515687851971
691,4809,12,0.2495321272613849
692,6898,20,0.2899391127863149
693,4,4,100.0
694,2664,24,0.9009009009009009
695,2827,10,0.3537318712415989
696,6,6,100.0
697,12,12,100.0
698,65,16,24.615384615384617
699,55,16,29.09090909090909
700,6,6,100.0
701,18,18,100.0
702,14,14,100.0
703,8,8,100.0
704,16,16,100.0
705,2362,10,0.42337002540220153
706,4,4,100.0
707,309,10,3.2362459546925564
708,4,4,100.0
709,2313,8,0.34587116299178555
710,1788,14,0.7829977628635347
711,8,8,100.0
712,23,12,52.17391304347826
713,8,8,100.0
714,681,14,2.0558002936857562
715,1879,10,0.532197977647685
716,140,8,5.714285714285714
717,632,12,1.89873417721519
718,918,16,1.7429193899782136
719,14,14,100.0
720,10,10,100.0
721,4,4,100.0
722,10,10,100.0
723,14,14,100.0
724,14,14,100.0
725,4,4,100.0
726,22,22,100.0
727,12,12,100.0
728,10,10,100.0
729,4,4,100.0
730,28,28,100.0
731,16,16,100.0
732,10,10,100.0
733,10,10,100.0
734,8,8,100.0
735,12,12,100.0
736,14,14,100.0
737,10,10,100.0
738,10,10,100.0
739,10,10,100.0
740,6,6,100.0
741,22,22,100.0
742,14,14,100.0
743,8,8,100.0
