transaction_type,fraud_status,step,amount_bin,transaction_count
CASH_IN,Legitimate,3,"5,001-10,000",1
CASH_IN,Legitimate,3,"50,001-100,000",20
CASH_IN,Legitimate,3,"500,001-1,000,000",2
CASH_OUT,Fraud,3,"10,001-50,000",2
CASH_OUT,Legitimate,3,"10,001-50,000",13
CASH_OUT,Legitimate,3,"100,001-500,000",15
CASH_OUT,Legitimate,3,"5,001-10,000",6
CASH_OUT,Legitimate,3,"50,001-100,000",16
DEBIT,Legitimate,3,"1,001-5,000",18
DEBIT,Legitimate,3,"5,001-10,000",7
PAYMENT,Legitimate,3,0-100,3
PAYMENT,Legitimate,3,"1,001-5,000",87
PAYMENT,Legitimate,3,"10,001-50,000",125
PAYMENT,Legitimate,3,101-500,16
PAYMENT,Legitimate,3,"5,001-10,000",66
PAYMENT,Legitimate,3,"501-1,000",19
TRANSFER,Fraud,3,"10,001-50,000",2
TRANSFER,Legitimate,3,"1,000,001+",4
TRANSFER,Legitimate,3,"1,001-5,000",1
TRANSFER,Legitimate,3,"10,001-50,000",4
TRANSFER,Legitimate,3,"100,001-500,000",9
TRANSFER,Legitimate,3,"5,001-10,000",1
TRANSFER,Legitimate,3,"50,001-100,000",7
TRANSFER,Legitimate,3,"500,001-1,000,000",7
CASH_IN,Legitimate,4,"1,001-5,000",3
CASH_IN,Legitimate,4,"10,001-50,000",21
CASH_IN,Legitimate,4,"100,001-500,000",78
CASH_IN,Legitimate,4,"50,001-100,000",29
CASH_IN,Legitimate,4,"500,001-1,000,000",5
CASH_OUT,Fraud,4,"1,000,001+",2
CASH_OUT,Fraud,4,"10,001-50,000",1
CASH_OUT,Fraud,4,"100,001-500,000",1
CASH_OUT,Fraud,4,"50,001-100,000",1
CASH_OUT,Legitimate,4,"1,001-5,000",3
CASH_OUT,Legitimate,4,"10,001-50,000",15
CASH_OUT,Legitimate,4,"100,001-500,000",38
CASH_OUT,Legitimate,4,"5,001-10,000",3
CASH_OUT,Legitimate,4,"50,001-100,000",13
DEBIT,Legitimate,4,"1,001-5,000",5
DEBIT,Legitimate,4,101-500,5
DEBIT,Legitimate,4,"501-1,000",6
PAYMENT,Legitimate,4,0-100,7
PAYMENT,Legitimate,4,"1,001-5,000",173
PAYMENT,Legitimate,4,"10,001-50,000",25
PAYMENT,Legitimate,4,101-500,19
PAYMENT,Legitimate,4,"5,001-10,000",42
PAYMENT,Legitimate,4,"501-1,000",28
TRANSFER,Fraud,4,"1,000,001+",2
TRANSFER,Fraud,4,"10,001-50,000",1
TRANSFER,Fraud,4,"100,001-500,000",1
TRANSFER,Fraud,4,"50,001-100,000",1
TRANSFER,Legitimate,4,"1,000,001+",5
TRANSFER,Legitimate,4,"10,001-50,000",7
TRANSFER,Legitimate,4,"100,001-500,000",14
TRANSFER,Legitimate,4,"5,001-10,000",2
TRANSFER,Legitimate,4,"50,001-100,000",5
TRANSFER,Legitimate,4,"500,001-1,000,000",4
CASH_IN,Legitimate,5,"10,001-50,000",22
CASH_IN,Legitimate,5,"100,001-500,000",75
CASH_IN,Legitimate,5,"5,001-10,000",2
CASH_IN,Legitimate,5,"50,001-100,000",22
CASH_IN,Legitimate,5,"500,001-1,000,000",9
CASH_IN,Legitimate,5,"501-1,000",1
CASH_OUT,Fraud,5,"10,001-50,000",1
CASH_OUT,Fraud,5,"100,001-500,000",1
CASH_OUT,Fraud,5,"50,001-100,000",1
CASH_OUT,Legitimate,5,"10,001-50,000",6
CASH_OUT,Legitimate,5,"100,001-500,000",39
CASH_OUT,Legitimate,5,"50,001-100,000",12
CASH_OUT,Legitimate,5,"500,001-1,000,000",1
DEBIT,Legitimate,5,0-100,1
DEBIT,Legitimate,5,"1,001-5,000",19
DEBIT,Legitimate,5,"501-1,000",4
PAYMENT,Legitimate,5,0-100,7
PAYMENT,Legitimate,5,"1,001-5,000",189
PAYMENT,Legitimate,5,"10,001-50,000",68
PAYMENT,Legitimate,5,101-500,23
PAYMENT,Legitimate,5,"5,001-10,000",106
PAYMENT,Legitimate,5,"501-1,000",26
TRANSFER,Fraud,5,"10,001-50,000",1
TRANSFER,Fraud,5,"100,001-500,000",1
TRANSFER,Fraud,5,"50,001-100,000",1
TRANSFER,Legitimate,5,"1,000,001+",3
TRANSFER,Legitimate,5,"1,001-5,000",1
TRANSFER,Legitimate,5,"10,001-50,000",5
TRANSFER,Legitimate,5,"100,001-500,000",10
TRANSFER,Legitimate,5,"50,001-100,000",8
CASH_IN,Legitimate,6,"1,001-5,000",3
CASH_IN,Legitimate,6,"10,001-50,000",43
CASH_IN,Legitimate,6,"100,001-500,000",189
CASH_IN,Legitimate,6,"5,001-10,000",6
CASH_IN,Legitimate,6,"50,001-100,000",50
CASH_IN,Legitimate,6,"500,001-1,000,000",9
CASH_OUT,Fraud,6,"10,001-50,000",9
CASH_OUT,Fraud,6,"100,001-500,000",1
CASH_OUT,Fraud,6,"50,001-100,000",1
CASH_OUT,Legitimate,6,0-100,1
CASH_OUT,Legitimate,6,"1,001-5,000",1
CASH_OUT,Legitimate,6,"10,001-50,000",23
CASH_OUT,Legitimate,6,"100,001-500,000",103
CASH_OUT,Legitimate,6,"5,001-10,000",6
CASH_OUT,Legitimate,6,"50,001-100,000",22
CASH_OUT,Legitimate,6,"500,001-1,000,000",7
DEBIT,Legitimate,6,"1,001-5,000",14
DEBIT,Legitimate,6,101-500,2
DEBIT,Legitimate,6,"5,001-10,000",4
DEBIT,Legitimate,6,"501-1,000",1
PAYMENT,Legitimate,6,0-100,6
PAYMENT,Legitimate,6,"1,001-5,000",194
PAYMENT,Legitimate,6,"10,001-50,000",489
PAYMENT,Legitimate,6,101-500,28
PAYMENT,Legitimate,6,"5,001-10,000",252
PAYMENT,Legitimate,6,"50,001-100,000",4
PAYMENT,Legitimate,6,"501-1,000",30
TRANSFER,Fraud,6,"10,001-50,000",9
TRANSFER,Fraud,6,"100,001-500,000",1
TRANSFER,Fraud,6,"50,001-100,000",1
TRANSFER,Legitimate,6,"1,000,001+",18
TRANSFER,Legitimate,6,"1,001-5,000",2
TRANSFER,Legitimate,6,"10,001-50,000",8
TRANSFER,Legitimate,6,"100,001-500,000",81
TRANSFER,Legitimate,6,"5,001-10,000",1
TRANSFER,Legitimate,6,"50,001-100,000",15
TRANSFER,Legitimate,6,"500,001-1,000,000",26
CASH_IN,Legitimate,7,"1,001-5,000",9
CASH_IN,Legitimate,7,"10,001-50,000",188
CASH_IN,Legitimate,7,"100,001-500,000",579
CASH_IN,Legitimate,7,101-500,1
CASH_IN,Legitimate,7,"5,001-10,000",18
CASH_IN,Legitimate,7,"50,001-100,000",174
CASH_IN,Legitimate,7,"500,001-1,000,000",30
CASH_IN,Legitimate,7,"501-1,000",3
CASH_OUT,Fraud,7,"1,000,001+",1
CASH_OUT,Fraud,7,"10,001-50,000",2
CASH_OUT,Fraud,7,"100,001-500,000",2
CASH_OUT,Fraud,7,101-500,1
CASH_OUT,Legitimate,7,"1,001-5,000",12
CASH_OUT,Legitimate,7,"10,001-50,000",164
CASH_OUT,Legitimate,7,"100,001-500,000",716
CASH_OUT,Legitimate,7,101-500,1
CASH_OUT,Legitimate,7,"5,001-10,000",20
CASH_OUT,Legitimate,7,"50,001-100,000",213
CASH_OUT,Legitimate,7,"500,001-1,000,000",23
DEBIT,Legitimate,7,"1,001-5,000",72
DEBIT,Legitimate,7,"10,001-50,000",5
DEBIT,Legitimate,7,101-500,10
DEBIT,Legitimate,7,"5,001-10,000",15
DEBIT,Legitimate,7,"501-1,000",5
PAYMENT,Legitimate,7,0-100,26
PAYMENT,Legitimate,7,"1,001-5,000",1253
PAYMENT,Legitimate,7,"10,001-50,000",1061
PAYMENT,Legitimate,7,101-500,125
PAYMENT,Legitimate,7,"5,001-10,000",1211
PAYMENT,Legitimate,7,"50,001-100,000",5
PAYMENT,Legitimate,7,"501-1,000",140
TRANSFER,Fraud,7,"1,000,001+",1
TRANSFER,Fraud,7,"10,001-50,000",2
TRANSFER,Fraud,7,"100,001-500,000",2
TRANSFER,Fraud,7,101-500,1
TRANSFER,Legitimate,7,"1,000,001+",118
TRANSFER,Legitimate,7,"1,001-5,000",1
TRANSFER,Legitimate,7,"10,001-50,000",45
TRANSFER,Legitimate,7,"100,001-500,000",327
TRANSFER,Legitimate,7,"5,001-10,000",6
TRANSFER,Legitimate,7,"50,001-100,000",45
TRANSFER,Legitimate,7,"500,001-1,000,000",204
CASH_IN,Legitimate,8,0-100,1
CASH_IN,Legitimate,8,"1,000,001+",2
CASH_IN,Legitimate,8,"1,001-5,000",70
CASH_IN,Legitimate,8,"10,001-50,000",646
CASH_IN,Legitimate,8,"100,001-500,000",2355
CASH_IN,Legitimate,8,101-500,5
CASH_IN,Legitimate,8,"5,001-10,000",80
CASH_IN,Legitimate,8,"50,001-100,000",712
CASH_IN,Legitimate,8,"500,001-1,000,000",71
CASH_IN,Legitimate,8,"501-1,000",11
CASH_OUT,Fraud,8,"1,001-5,000",1
CASH_OUT,Fraud,8,"10,001-50,000",2
CASH_OUT,Fraud,8,"100,001-500,000",1
CASH_OUT,Fraud,8,101-500,1
CASH_OUT,Fraud,8,"50,001-100,000",1
CASH_OUT,Legitimate,8,0-100,1
CASH_OUT,Legitimate,8,"1,000,001+",2
CASH_OUT,Legitimate,8,"1,001-5,000",69
CASH_OUT,Legitimate,8,"10,001-50,000",858
CASH_OUT,Legitimate,8,"100,001-500,000",3894
CASH_OUT,Legitimate,8,101-500,8
CASH_OUT,Legitimate,8,"5,001-10,000",116
CASH_OUT,Legitimate,8,"50,001-100,000",1025
CASH_OUT,Legitimate,8,"500,001-1,000,000",150
CASH_OUT,Legitimate,8,"501-1,000",8
DEBIT,Legitimate,8,0-100,4
DEBIT,Legitimate,8,"1,001-5,000",102
DEBIT,Legitimate,8,"10,001-50,000",1
DEBIT,Legitimate,8,101-500,8
DEBIT,Legitimate,8,"5,001-10,000",16
DEBIT,Legitimate,8,"50,001-100,000",1
DEBIT,Legitimate,8,"501-1,000",16
PAYMENT,Legitimate,8,0-100,57
PAYMENT,Legitimate,8,"1,001-5,000",2455
PAYMENT,Legitimate,8,"10,001-50,000",3291
PAYMENT,Legitimate,8,101-500,259
PAYMENT,Legitimate,8,"5,001-10,000",2495
PAYMENT,Legitimate,8,"50,001-100,000",20
PAYMENT,Legitimate,8,"501-1,000",305
TRANSFER,Fraud,8,"1,000,001+",1
TRANSFER,Fraud,8,"1,001-5,000",1
TRANSFER,Fraud,8,"10,001-50,000",2
TRANSFER,Fraud,8,101-500,1
TRANSFER,Fraud,8,"50,001-100,000",1
TRANSFER,Legitimate,8,"1,000,001+",634
TRANSFER,Legitimate,8,"1,001-5,000",8
TRANSFER,Legitimate,8,"10,001-50,000",80
TRANSFER,Legitimate,8,"100,001-500,000",618
TRANSFER,Legitimate,8,101-500,1
TRANSFER,Legitimate,8,"5,001-10,000",17
TRANSFER,Legitimate,8,"50,001-100,000",91
TRANSFER,Legitimate,8,"500,001-1,000,000",521
TRANSFER,Legitimate,8,"501-1,000",1
CASH_IN,Legitimate,9,0-100,1
CASH_IN,Legitimate,9,"1,000,001+",2
CASH_IN,Legitimate,9,"1,001-5,000",123
CASH_IN,Legitimate,9,"10,001-50,000",1156
CASH_IN,Legitimate,9,"100,001-500,000",5081
CASH_IN,Legitimate,9,101-500,7
CASH_IN,Legitimate,9,"5,001-10,000",135
CASH_IN,Legitimate,9,"50,001-100,000",1393
CASH_IN,Legitimate,9,"500,001-1,000,000",176
CASH_IN,Legitimate,9,"501-1,000",13
CASH_OUT,Fraud,9,"1,000,001+",2
CASH_OUT,Fraud,9,"1,001-5,000",1
CASH_OUT,Fraud,9,"10,001-50,000",2
CASH_OUT,Fraud,9,"100,001-500,000",3
CASH_OUT,Fraud,9,"500,001-1,000,000",1
CASH_OUT,Legitimate,9,0-100,4
CASH_OUT,Legitimate,9,"1,000,001+",2
CASH_OUT,Legitimate,9,"1,001-5,000",155
CASH_OUT,Legitimate,9,"10,001-50,000",1693
CASH_OUT,Legitimate,9,"100,001-500,000",8518
CASH_OUT,Legitimate,9,101-500,14
CASH_OUT,Legitimate,9,"5,001-10,000",174
CASH_OUT,Legitimate,9,"50,001-100,000",2117
CASH_OUT,Legitimate,9,"500,001-1,000,000",475
CASH_OUT,Legitimate,9,"501-1,000",23
DEBIT,Legitimate,9,0-100,5
DEBIT,Legitimate,9,"1,001-5,000",101
DEBIT,Legitimate,9,"10,001-50,000",15
DEBIT,Legitimate,9,"100,001-500,000",1
DEBIT,Legitimate,9,101-500,11
DEBIT,Legitimate,9,"5,001-10,000",72
DEBIT,Legitimate,9,"501-1,000",24
PAYMENT,Legitimate,9,0-100,66
PAYMENT,Legitimate,9,"1,001-5,000",2615
PAYMENT,Legitimate,9,"10,001-50,000",6842
PAYMENT,Legitimate,9,101-500,256
PAYMENT,Legitimate,9,"5,001-10,000",2955
PAYMENT,Legitimate,9,"50,001-100,000",51
PAYMENT,Legitimate,9,"501-1,000",320
TRANSFER,Fraud,9,"1,000,001+",2
TRANSFER,Fraud,9,"1,001-5,000",1
TRANSFER,Fraud,9,"10,001-50,000",2
TRANSFER,Fraud,9,"100,001-500,000",3
TRANSFER,Fraud,9,"500,001-1,000,000",2
TRANSFER,Legitimate,9,"1,000,001+",1183
TRANSFER,Legitimate,9,"1,001-5,000",10
TRANSFER,Legitimate,9,"10,001-50,000",110
TRANSFER,Legitimate,9,"100,001-500,000",811
TRANSFER,Legitimate,9,101-500,1
TRANSFER,Legitimate,9,"5,001-10,000",16
TRANSFER,Legitimate,9,"50,001-100,000",147
TRANSFER,Legitimate,9,"500,001-1,000,000",733
TRANSFER,Legitimate,9,"501-1,000",2
CASH_IN,Legitimate,10,0-100,1
CASH_IN,Legitimate,10,"1,000,001+",2
CASH_IN,Legitimate,10,"1,001-5,000",110
CASH_IN,Legitimate,10,"10,001-50,000",1025
CASH_IN,Legitimate,10,"100,001-500,000",4767
CASH_IN,Legitimate,10,101-500,17
CASH_IN,Legitimate,10,"5,001-10,000",131
CASH_IN,Legitimate,10,"50,001-100,000",1204
CASH_IN,Legitimate,10,"500,001-1,000,000",248
CASH_IN,Legitimate,10,"501-1,000",13
CASH_OUT,Fraud,10,"1,000,001+",1
CASH_OUT,Fraud,10,"100,001-500,000",1
CASH_OUT,Fraud,10,"5,001-10,000",1
CASH_OUT,Fraud,10,"50,001-100,000",2
CASH_OUT,Fraud,10,"500,001-1,000,000",1
CASH_OUT,Legitimate,10,0-100,3
CASH_OUT,Legitimate,10,"1,000,001+",2
CASH_OUT,Legitimate,10,"1,001-5,000",114
CASH_OUT,Legitimate,10,"10,001-50,000",1470
CASH_OUT,Legitimate,10,"100,001-500,000",8080
CASH_OUT,Legitimate,10,101-500,15
CASH_OUT,Legitimate,10,"5,001-10,000",185
CASH_OUT,Legitimate,10,"50,001-100,000",1901
CASH_OUT,Legitimate,10,"500,001-1,000,000",725
CASH_OUT,Legitimate,10,"501-1,000",15
DEBIT,Legitimate,10,0-100,2
DEBIT,Legitimate,10,"1,001-5,000",173
DEBIT,Legitimate,10,"10,001-50,000",7
DEBIT,Legitimate,10,"100,001-500,000",1
DEBIT,Legitimate,10,101-500,19
DEBIT,Legitimate,10,"5,001-10,000",44
DEBIT,Legitimate,10,"50,001-100,000",3
DEBIT,Legitimate,10,"501-1,000",26
PAYMENT,Legitimate,10,0-100,73
PAYMENT,Legitimate,10,"1,001-5,000",2697
PAYMENT,Legitimate,10,"10,001-50,000",6244
PAYMENT,Legitimate,10,101-500,277
PAYMENT,Legitimate,10,"5,001-10,000",3056
PAYMENT,Legitimate,10,"50,001-100,000",38
PAYMENT,Legitimate,10,"501-1,000",379
TRANSFER,Fraud,10,"1,000,001+",1
TRANSFER,Fraud,10,"5,001-10,000",1
TRANSFER,Fraud,10,"50,001-100,000",2
TRANSFER,Fraud,10,"500,001-1,000,000",1
TRANSFER,Legitimate,10,"1,000,001+",1145
TRANSFER,Legitimate,10,"1,001-5,000",8
TRANSFER,Legitimate,10,"10,001-50,000",91
TRANSFER,Legitimate,10,"100,001-500,000",802
TRANSFER,Legitimate,10,101-500,1
TRANSFER,Legitimate,10,"5,001-10,000",14
TRANSFER,Legitimate,10,"50,001-100,000",131
TRANSFER,Legitimate,10,"500,001-1,000,000",720
TRANSFER,Legitimate,10,"501-1,000",1
CASH_IN,Legitimate,11,0-100,1
CASH_IN,Legitimate,11,"1,001-5,000",110
CASH_IN,Legitimate,11,"10,001-50,000",1065
CASH_IN,Legitimate,11,"100,001-500,000",4952
CASH_IN,Legitimate,11,101-500,9
CASH_IN,Legitimate,11,"5,001-10,000",137
CASH_IN,Legitimate,11,"50,001-100,000",1321
CASH_IN,Legitimate,11,"500,001-1,000,000",237
CASH_IN,Legitimate,11,"501-1,000",9
CASH_OUT,Fraud,11,"1,001-5,000",1
CASH_OUT,Fraud,11,"10,001-50,000",1
CASH_OUT,Fraud,11,"100,001-500,000",1
CASH_OUT,Legitimate,11,0-100,4
CASH_OUT,Legitimate,11,"1,000,001+",4
CASH_OUT,Legitimate,11,"1,001-5,000",132
CASH_OUT,Legitimate,11,"10,001-50,000",1493
CASH_OUT,Legitimate,11,"100,001-500,000",8483
CASH_OUT,Legitimate,11,101-500,19
CASH_OUT,Legitimate,11,"5,001-10,000",176
CASH_OUT,Legitimate,11,"50,001-100,000",1894
CASH_OUT,Legitimate,11,"500,001-1,000,000",856
CASH_OUT,Legitimate,11,"501-1,000",17
DEBIT,Legitimate,11,0-100,6
DEBIT,Legitimate,11,"1,001-5,000",172
DEBIT,Legitimate,11,"10,001-50,000",7
DEBIT,Legitimate,11,"100,001-500,000",1
DEBIT,Legitimate,11,101-500,21
DEBIT,Legitimate,11,"5,001-10,000",44
DEBIT,Legitimate,11,"50,001-100,000",7
DEBIT,Legitimate,11,"501-1,000",20
PAYMENT,Legitimate,11,0-100,52
PAYMENT,Legitimate,11,"1,001-5,000",2613
PAYMENT,Legitimate,11,"10,001-50,000",6907
PAYMENT,Legitimate,11,101-500,242
PAYMENT,Legitimate,11,"5,001-10,000",2841
PAYMENT,Legitimate,11,"50,001-100,000",77
PAYMENT,Legitimate,11,"501-1,000",322
TRANSFER,Fraud,11,"1,000,001+",1
TRANSFER,Fraud,11,"1,001-5,000",1
TRANSFER,Fraud,11,"10,001-50,000",1
TRANSFER,Fraud,11,"100,001-500,000",1
TRANSFER,Legitimate,11,"1,000,001+",1014
TRANSFER,Legitimate,11,"1,001-5,000",12
TRANSFER,Legitimate,11,"10,001-50,000",108
TRANSFER,Legitimate,11,"100,001-500,000",895
TRANSFER,Legitimate,11,101-500,2
TRANSFER,Legitimate,11,"5,001-10,000",17
TRANSFER,Legitimate,11,"50,001-100,000",110
TRANSFER,Legitimate,11,"500,001-1,000,000",824
TRANSFER,Legitimate,11,"501-1,000",1
CASH_IN,Legitimate,12,0-100,5
CASH_IN,Legitimate,12,"1,000,001+",1
CASH_IN,Legitimate,12,"1,001-5,000",94
CASH_IN,Legitimate,12,"10,001-50,000",979
CASH_IN,Legitimate,12,"100,001-500,000",4921
CASH_IN,Legitimate,12,101-500,8
CASH_IN,Legitimate,12,"5,001-10,000",120
CASH_IN,Legitimate,12,"50,001-100,000",1261
CASH_IN,Legitimate,12,"500,001-1,000,000",287
CASH_IN,Legitimate,12,"501-1,000",8
CASH_OUT,Fraud,12,"1,000,001+",3
CASH_OUT,Fraud,12,"1,001-5,000",1
CASH_OUT,Fraud,12,"10,001-50,000",1
CASH_OUT,Fraud,12,"100,001-500,000",2
CASH_OUT,Fraud,12,"5,001-10,000",1
CASH_OUT,Legitimate,12,0-100,2
CASH_OUT,Legitimate,12,"1,000,001+",3
CASH_OUT,Legitimate,12,"1,001-5,000",142
CASH_OUT,Legitimate,12,"10,001-50,000",1519
CASH_OUT,Legitimate,12,"100,001-500,000",8593
CASH_OUT,Legitimate,12,101-500,6
CASH_OUT,Legitimate,12,"5,001-10,000",196
CASH_OUT,Legitimate,12,"50,001-100,000",1886
CASH_OUT,Legitimate,12,"500,001-1,000,000",744
CASH_OUT,Legitimate,12,"501-1,000",12
DEBIT,Legitimate,12,"1,001-5,000",46
DEBIT,Legitimate,12,"10,001-50,000",90
DEBIT,Legitimate,12,"100,001-500,000",17
DEBIT,Legitimate,12,101-500,3
DEBIT,Legitimate,12,"5,001-10,000",37
DEBIT,Legitimate,12,"50,001-100,000",59
DEBIT,Legitimate,12,"501-1,000",3
PAYMENT,Legitimate,12,0-100,63
PAYMENT,Legitimate,12,"1,001-5,000",2453
PAYMENT,Legitimate,12,"10,001-50,000",6254
PAYMENT,Legitimate,12,101-500,241
PAYMENT,Legitimate,12,"5,001-10,000",2699
PAYMENT,Legitimate,12,"50,001-100,000",145
PAYMENT,Legitimate,12,"501-1,000",287
TRANSFER,Fraud,12,"1,000,001+",3
TRANSFER,Fraud,12,"1,001-5,000",1
TRANSFER,Fraud,12,"10,001-50,000",1
TRANSFER,Fraud,12,"5,001-10,000",1
TRANSFER,Legitimate,12,"1,000,001+",907
TRANSFER,Legitimate,12,"1,001-5,000",6
TRANSFER,Legitimate,12,"10,001-50,000",96
TRANSFER,Legitimate,12,"100,001-500,000",947
TRANSFER,Legitimate,12,101-500,1
TRANSFER,Legitimate,12,"5,001-10,000",15
TRANSFER,Legitimate,12,"50,001-100,000",142
TRANSFER,Legitimate,12,"500,001-1,000,000",841
CASH_IN,Legitimate,13,"1,000,001+",1
CASH_IN,Legitimate,13,"1,001-5,000",86
CASH_IN,Legitimate,13,"10,001-50,000",1005
CASH_IN,Legitimate,13,"100,001-500,000",5234
CASH_IN,Legitimate,13,101-500,6
CASH_IN,Legitimate,13,"5,001-10,000",127
CASH_IN,Legitimate,13,"50,001-100,000",1370
CASH_IN,Legitimate,13,"500,001-1,000,000",290
CASH_IN,Legitimate,13,"501-1,000",12
CASH_OUT,Fraud,13,"1,000,001+",4
CASH_OUT,Fraud,13,"10,001-50,000",1
CASH_OUT,Fraud,13,"100,001-500,000",1
CASH_OUT,Fraud,13,101-500,1
CASH_OUT,Legitimate,13,0-100,1
CASH_OUT,Legitimate,13,"1,000,001+",2
CASH_OUT,Legitimate,13,"1,001-5,000",155
CASH_OUT,Legitimate,13,"10,001-50,000",1680
CASH_OUT,Legitimate,13,"100,001-500,000",9123
CASH_OUT,Legitimate,13,101-500,12
CASH_OUT,Legitimate,13,"5,001-10,000",206
CASH_OUT,Legitimate,13,"50,001-100,000",2080
CASH_OUT,Legitimate,13,"500,001-1,000,000",610
CASH_OUT,Legitimate,13,"501-1,000",16
DEBIT,Legitimate,13,0-100,5
DEBIT,Legitimate,13,"1,001-5,000",112
DEBIT,Legitimate,13,"10,001-50,000",8
DEBIT,Legitimate,13,101-500,17
DEBIT,Legitimate,13,"5,001-10,000",65
DEBIT,Legitimate,13,"501-1,000",10
PAYMENT,Legitimate,13,0-100,59
PAYMENT,Legitimate,13,"1,001-5,000",2460
PAYMENT,Legitimate,13,"10,001-50,000",6115
PAYMENT,Legitimate,13,101-500,247
PAYMENT,Legitimate,13,"5,001-10,000",2646
PAYMENT,Legitimate,13,"50,001-100,000",248
PAYMENT,Legitimate,13,"501-1,000",300
TRANSFER,Fraud,13,"1,000,001+",4
TRANSFER,Fraud,13,"10,001-50,000",1
TRANSFER,Fraud,13,"100,001-500,000",1
TRANSFER,Fraud,13,101-500,1
TRANSFER,Legitimate,13,0-100,1
TRANSFER,Legitimate,13,"1,000,001+",851
TRANSFER,Legitimate,13,"1,001-5,000",16
TRANSFER,Legitimate,13,"10,001-50,000",110
TRANSFER,Legitimate,13,"100,001-500,000",1113
TRANSFER,Legitimate,13,101-500,2
TRANSFER,Legitimate,13,"5,001-10,000",17
